Date,Open,High,Low,Close,Volume
03/26/2019,"5,480","5,510","5,455","5,465","28,052,500"
03/25/2019,"5,440","5,500","5,440","5,450","39,226,499"
03/22/2019,"5,465","5,500","5,465","5,490","69,212,999"
03/21/2019,"5,490","5,520","5,460","5,490","59,127,999"
03/20/2019,"5,540","5,555","5,465","5,515","65,115,499"
03/19/2019,"5,540","5,545","5,485","5,500","77,183,999"
03/18/2019,"5,555","5,560","5,535","5,540","57,574,499"
03/15/2019,"5,520","5,550","5,485","5,500","122,390,498"
03/14/2019,"5,450","5,495","5,450","5,480","55,616,499"
03/13/2019,"5,450","5,505","5,450","5,495","36,009,499"
03/12/2019,"5,540","5,540","5,450","5,495","69,179,499"
03/11/2019,"5,530","5,530","5,460","5,500","48,536,499"
03/08/2019,"5,545","5,570","5,440","5,440","61,125,999"
03/06/2019,"5,555","5,555","5,490","5,490","37,776,999"
03/05/2019,"5,500","5,505","5,440","5,495","46,499,499"
03/04/2019,"5,520","5,540","5,515","5,535","63,910,499"
03/01/2019,"5,565","5,600","5,535","5,540","72,589,499"
02/28/2019,"5,570","5,580","5,510","5,515","99,365,994"
02/27/2019,"5,565","5,570","5,545","5,565","78,519,499"
02/26/2019,"5,500","5,555","5,495","5,555","98,445,994"
02/25/2019,"5,490","5,500","5,455","5,490","47,886,999"
02/22/2019,"5,475","5,525","5,460","5,490","48,271,499"
02/21/2019,"5,540","5,560","5,470","5,505","54,561,499"
02/20/2019,"5,450","5,595","5,440","5,500","89,582,999"
02/19/2019,"5,420","5,480","5,380","5,380","64,468,999"
02/18/2019,"5,410","5,500","5,410","5,480","62,990,999"
02/15/2019,"5,360","5,410","5,335","5,360","81,339,999"
02/14/2019,"5,405","5,405","5,380","5,380","108,738,493"
02/13/2019,"5,460","5,490","5,410","5,420","103,115,498"
02/12/2019,"5,530","5,530","5,450","5,460","95,883,494"
02/11/2019,"5,520","5,530","5,460","5,495","37,638,999"
02/08/2019,"5,530","5,535","5,500","5,520","65,268,499"
02/07/2019,"5,535","5,535","5,505","5,530","63,697,499"
02/06/2019,"5,500","5,540","5,495","5,535","121,996,503"
02/04/2019,"5,635","5,635","5,500","5,500","113,846,503"
02/01/2019,"5,680","5,750","5,560","5,635","57,719,499"
01/31/2019,"5,520","5,640","5,520","5,635","135,904,498"
01/30/2019,"5,560","5,560","5,495","5,520","76,284,999"
01/29/2019,"5,445","5,550","5,440","5,540","77,678,999"
01/28/2019,"5,515","5,515","5,475","5,495","69,703,999"
01/25/2019,"5,400","5,520","5,400","5,500","68,943,999"
01/24/2019,"5,430","5,485","5,355","5,460","106,780,993"
01/23/2019,"5,600","5,600","5,475","5,500","98,506,504"
01/22/2019,"5,600","5,620","5,450","5,600","91,906,999"
01/21/2019,"5,425","5,600","5,390","5,545","87,117,999"
01/18/2019,"5,340","5,425","5,315","5,425","100,873,493"
01/17/2019,"5,290","5,330","5,285","5,330","91,654,004"
01/16/2019,"5,260","5,285","5,245","5,285","94,972,499"
01/15/2019,"5,230","5,260","5,190","5,260","87,762,999"
01/14/2019,"5,220","5,235","5,150","5,200","87,547,499"
01/11/2019,"5,280","5,300","5,235","5,250","84,826,504"
01/10/2019,"5,300","5,300","5,190","5,255","114,314,498"
01/09/2019,"5,300","5,320","5,225","5,255","84,870,994"
01/08/2019,"5,230","5,320","5,205","5,240","66,247,499"
01/07/2019,"5,265","5,325","5,245","5,245","73,437,999"
01/04/2019,"5,175","5,205","5,125","5,205","51,464,999"
01/03/2019,"5,200","5,220","5,115","5,180","72,357,999"
01/02/2019,"5,200","5,245","5,200","5,240","35,955,999"
